user_id,item_id,date
4,205587,2015-07-04
4,748683,2015-07-04
4,790055,2015-07-04
4,790055,2015-07-04
4,764638,2015-07-04
4,790055,2015-07-04
4,492434,2015-07-04
4,95474,2015-07-04
4,764638,2015-07-04
22,770858,2015-07-05
22,631316,2015-07-05
22,476585,2015-07-05
28,872063,2015-07-01
28,648714,2015-07-01
28,872063,2015-07-01
28,368281,2015-07-01
28,58646,2015-07-01
28,329906,2015-07-03
28,144477,2015-07-03
28,329906,2015-07-03
28,683727,2015-07-03
28,939418,2015-07-03
28,525265,2015-07-03
28,683727,2015-07-03
28,886212,2015-07-03
28,525265,2015-07-03
28,1047704,2015-07-04
28,1047704,2015-07-04
28,703120,2015-07-04
28,1047704,2015-07-04
28,1047704,2015-07-04
28,1047704,2015-07-04
37,710872,2015-07-01
37,483945,2015-07-01
37,483945,2015-07-06
37,483945,2015-07-06
37,483945,2015-07-06
67,799799,2015-07-01
67,799799,2015-07-01
67,77062,2015-07-01
67,799799,2015-07-01
67,799799,2015-07-01
67,874196,2015-07-03
67,283363,2015-07-03
67,752835,2015-07-03
67,799799,2015-07-03
67,946292,2015-07-03
67,755024,2015-07-03
67,787663,2015-07-03
67,643662,2015-07-03
67,283363,2015-07-03
67,755024,2015-07-03
67,89675,2015-07-03
76,19084,2015-07-02
76,129323,2015-07-02
76,924715,2015-07-02
76,924715,2015-07-02
76,924715,2015-07-02
76,631714,2015-07-02
76,924715,2015-07-02
76,631714,2015-07-02
79,201708,2015-07-05
79,719673,2015-07-05
79,445558,2015-07-05
94,1109275,2015-07-04
94,1036669,2015-07-04
94,887369,2015-07-04
94,643175,2015-07-04
94,833176,2015-07-04
94,1095257,2015-07-04
94,31059,2015-07-04
94,28600,2015-07-04
94,1055379,2015-07-04
94,603917,2015-07-04
94,17781,2015-07-04
94,1067280,2015-07-04
94,349184,2015-07-07
94,176073,2015-07-07
94,290194,2015-07-07
94,599017,2015-07-07
94,935638,2015-07-07
94,532399,2015-07-07
94,546052,2015-07-07
94,218999,2015-07-07
94,50507,2015-07-07
94,111778,2015-07-07
94,442308,2015-07-07
94,935638,2015-07-07
94,798489,2015-07-07
94,218444,2015-07-07
94,677407,2015-07-07
94,1048551,2015-07-07
94,303295,2015-07-07
94,292598,2015-07-07
94,745326,2015-07-07
94,532399,2015-07-07
94,798489,2015-07-07
94,1055887,2015-07-07
94,298333,2015-07-07
94,926663,2015-07-07
94,393245,2015-07-07
94,750360,2015-07-07
94,477234,2015-07-07
94,603852,2015-07-08
94,28600,2015-07-08
94,987320,2015-07-08
94,109924,2015-07-08
94,886214,2015-07-08
94,175930,2015-07-08
94,603917,2015-07-08
94,815349,2015-07-08
94,595458,2015-07-08
94,175930,2015-07-08
94,831322,2015-07-08
94,356996,2015-07-08
94,810116,2015-07-08
94,787955,2015-07-08
94,887369,2015-07-08
94,812794,2015-07-08
94,633160,2015-07-08
94,406715,2015-07-08
94,119815,2015-07-08
94,17479,2015-07-08
94,505799,2015-07-08
94,112108,2015-07-08
94,597313,2015-07-08
94,812794,2015-07-08
94,472387,2015-07-08
94,9537,2015-07-08
94,386992,2015-07-08
94,487827,2015-07-08
94,1036669,2015-07-08
94,595458,2015-07-08
94,398161,2015-07-08
94,175930,2015-07-08
94,1111867,2015-07-08
94,615107,2015-07-08
97,532395,2015-07-02
97,532395,2015-07-02
100,311746,2015-07-02
100,185046,2015-07-02
100,1002465,2015-07-02
124,264207,2015-07-04
124,1099616,2015-07-04
124,264207,2015-07-04
124,891382,2015-07-05
124,353234,2015-07-05
124,353234,2015-07-05
124,434294,2015-07-05
124,21447,2015-07-05
124,459937,2015-07-05
148,923460,2015-07-02
148,128769,2015-07-02
151,1065305,2015-07-05
